Ghoul,10101
Berserker,10081
Troll,10079
Wolf,10053
Magi,10031
Eagle,9986
Fairy,9943
Warlock,9897
Spider,9868
Paladin,9804
Skin-Walker,9762
Shield,3851
Shade,3086
Flight,3055
Deathgrip,3031
Invert,3012
Firebreath,2995
Shrink,2983
Age,2980
Alacrity,2975
Lethargy,2970
Haste,2891
Strength,2876
Blight,2866
Agony,2850
Drain,2825
Ring,1750
Burn,1592
Hypnosis,1590
Tempest,1586
Revive,1579
Lightning,1577
Fire,1572
Vortex,1570
Burst,1566
Assault,1559
Frost,1550
Sorrow,1548
Stun,1543
Rage,1538
Heal,1533
Freeze,1529
Stricken,1527
Gravitation,1524
Gale,1515
Maelstrom,1512
Ice,1503
Infuriate,1493
Fireball,1484
Invisibility,1470
Fury,1469
Frenzy,1462
Wall,1458
Reanimate,1432
Pandemonium,1431
Torment,1429
Potion,940
Sigil,928
Crown,922
Boots,917
Staff,910
Gauntlet,909
Helm,887
Pendant,884
Scythe,884
Helmet,879
Amulet,875
Sword,865
Greaves,864
Scepter,862
Tome,859
Divine Robe,854
Ghost Wand,845
Cloak,833
Bow,832
Gloves,831
Belt,829
Bracers,812
Miracle Shield,170
Dark Chaos Demon of Illusion,167
Snow Undead Dragon of Hate,160
Frozen Time Dragon of the Void,159
Necro Deathgrip,156
Nature Deathgrip,155
Death Chaos Wizard of the Dead,155
Nimble Blight,154
Death Grand Wizard of the Dead,154
Light Time Dragon of the Sky,153
Cataclysmic Shield,151
Frozen Chaos Wizard of the Void,151
Snow Chaos Wizard of Hate,151
Death Nameless Dragon of the Dead,151
Shimmering Agony,151
Death Ancient Wizard of the Dead,150
Solar Agony,150
Light Nameless Dragon of the Sky,150
Light Grand Demon of the Sky,149
Nimble Haste,149
Earth Nameless Dragon of the Shadows,148
Death Chaos Demon of the Dead,148
Earth Chaos Demon of the Shadows,148
Victory Drain,148
Forged Deathgrip,148
Victory Blight,148
Lunar Firebreath,148
Chimeric Flight,148
Frozen Grand Wizard of the Void,147
Dark Alacrity,147
Frozen Ancient Demon of the Void,147
Oblivion Invert,147
Earth Nameless Phoenix of the Shadows,147
Snow Time Dragon of Hate,147
Death Ancient Demon of the Dead,147
Sorrow Alacrity,146
Lunar Flight,146
Life Blight,146
Frozen Undead Dragon of the Void,145
Earth Undead Dragon of the Shadows,145
Snow Nameless Dragon of Hate,145
Aura Nameless Phoenix of the Light,145
Solar Strength,145
Hateful Lethargy,144
Apocalypse Haste,144
Earth Time Phoenix of the Shadows,144
Earth Grand Demon of the Shadows,144
Dark Shrink,144
Dark Nameless Phoenix of Illusion,143
Miracle Firebreath,143
Light Grand Wizard of the Sky,143
Dark Shield,143
Aura Ancient Wizard of the Light,142
Frozen Nameless Phoenix of the Void,142
Aura Ancient Demon of the Light,142
Forged Age,142
Nimble Shade,142
Dark Nameless Dragon of Illusion,142
Sorrow Shield,141
Dark Grand Demon of Illusion,141
Earth Ancient Wizard of the Shadows,141
Earth Undead Phoenix of the Shadows,141
Forged Agony,141
Death Grand Demon of the Dead,140
Cataclysmic Firebreath,140
Aura Undead Dragon of the Light,139
Dark Ancient Demon of Illusion,139
Oblivion Drain,139
Necro Age,139
Light Undead Phoenix of the Sky,139
Nimble Invert,138
Cataclysmic Flight,138
Corpse Age,138
Frozen Ancient Wizard of the Void,137
Snow Chaos Demon of Hate,137
Earth Grand Wizard of the Shadows,137
Snow Grand Wizard of Hate,136
Death Nameless Phoenix of the Dead,136
Dark Time Phoenix of Illusion,136
Gloom Shrink,136
Grim Blight,136
Oblivion Haste,135
Aura Grand Wizard of the Light,135
Shimmering Age,135
Chimeric Shield,135
Dark Chaos Wizard of Illusion,135
Sorrow Firebreath,135
Earth Chaos Wizard of the Shadows,134
Light Ancient Demon of the Sky,134
Dark Undead Dragon of Illusion,134
Nature Age,134
Shimmering Strength,134
Gloom Shield,134
Miracle Alacrity,133
Life Invert,133
Aura Time Dragon of the Light,132
Victory Shade,132
Death Undead Phoenix of the Dead,132
Lunar Alacrity,132
Frigid Invert,132
Life Drain,132
Snow Ancient Demon of Hate,131
Corpse Strength,131
Necro Strength,131
Solar Lethargy,131
Light Ancient Wizard of the Sky,131
Aura Chaos Wizard of the Light,130
Chimeric Alacrity,130
Sorrow Flight,130
Frigid Haste,130
Frigid Drain,130
Grim Invert,130
Aura Nameless Dragon of the Light,129
Light Time Phoenix of the Sky,129
Forged Strength,129
Frozen Undead Phoenix of the Void,129
Dark Grand Wizard of Illusion,129
Snow Time Phoenix of Hate,129
Frozen Chaos Demon of the Void,129
Solar Deathgrip,129
Gloom Alacrity,129
Death Undead Dragon of the Dead,129
Oblivion Shade,129
Frozen Time Phoenix of the Void,128
Gloom Firebreath,128
Victory Haste,128
Aura Undead Phoenix of the Light,128
Dark Time Dragon of Illusion,128
Light Nameless Phoenix of the Sky,128
Cataclysmic Shrink,128
Shimmering Lethargy,128
Frozen Grand Demon of the Void,127
Frozen Nameless Dragon of the Void,127
Sorrow Shrink,127
Cataclysmic Alacrity,127
Miracle Shrink,127
Chimeric Shrink,127
Life Shade,127
Victory Invert,127
Hateful Age,126
Lunar Shrink,126
Frigid Blight,126
Frigid Shade,125
Snow Nameless Phoenix of Hate,125
Light Undead Dragon of the Sky,125
Forged Lethargy,124
Miracle Flight,124
Shimmering Deathgrip,124
Light Chaos Demon of the Sky,124
Nimble Drain,124
Earth Time Dragon of the Shadows,124
Corpse Agony,123
Nature Lethargy,123
Lunar Shield,123
Aura Time Phoenix of the Light,123
Snow Grand Demon of Hate,123
Gloom Flight,123
Earth Ancient Demon of the Shadows,123
Grim Drain,123
Apocalypse Shade,122
Hateful Strength,122
Dark Undead Phoenix of Illusion,122
Apocalypse Blight,121
Aura Chaos Demon of the Light,121
Light Chaos Wizard of the Sky,121
Grim Haste,121
Corpse Lethargy,120
Death Time Dragon of the Dead,120
Grim Shade,120
Snow Undead Phoenix of Hate,120
Dark Ancient Wizard of Illusion,120
Dark Flight,119
Solar Age,118
Corpse Deathgrip,117
Nature Strength,117
Nature Agony,117
Death Time Phoenix of the Dead,117
Oblivion Blight,116
Life Haste,116
Hateful Agony,116
Dark Firebreath,116
Apocalypse Invert,115
Apocalypse Drain,115
Necro Agony,114
Snow Ancient Wizard of Hate,113
Necro Lethargy,112
Aura Grand Demon of the Light,110
Hateful Deathgrip,108
Chimeric Firebreath,105
Snow Knight Cyclops,104
Urgent Life Invert,102
Aura Rogue Goblin,100
Light Lord Orc,100
Aura Queen Goblin,99
Earth Undead Goblin,99
Death Assassin Griffin,97
Light Warrior Griffin,97
Snow Monk Cyclops,97
Aura Knight Goblin,97
Light Priest Orc,96
Earth Warrior Cyclops,95
Dark Fighter Kraken,95
Snow Warrior Griffin,95
Earth Warrior Goblin,94
Earth Undead Hydra,94
Snow Undead Kraken,94
Death Knight Hydra,93
Dark Monk Griffin,93
Frozen Lord Goblin,93
Aura Thief Cyclops,93
Light Queen Cyclops,92
Aura Monk Kraken,92
Aura Monk Griffin,92
Aura Lord Hydra,92
Frozen Queen Hydra,92
Earth Warrior Kraken,92
Aura Fighter Orc,92
Dark Priest Cyclops,91
Aura Undead Kraken,91
Empyrean Apocalypse Shade,91
Light Priest Cyclops,91
Light Rogue Goblin,90
Frozen Queen Kraken,90
Earth Assassin Hydra,90
Snow Knight Goblin,90
Aura Fighter Hydra,90
Dark Warrior Orc,90
Dark King Kraken,90
Snow Thief Goblin,90
Death Rogue Kraken,89
Light King Orc,89
Death Monk Goblin,89
Aura King Kraken,89
Death Merchant Goblin,89
Snow Thief Cyclops,89
Earth Assassin Griffin,89
Light Fighter Goblin,88
Light Thief Cyclops,88
Frozen Fighter Goblin,88
Urgent Solar Agony,88
Aura Merchant Goblin,88
Instant Victory Drain,88
Snow Lord Griffin,87
Death Merchant Hydra,87
Earth Monk Cyclops,87
Aura Priest Orc,87
Light Knight Hydra,87
Death Undead Hydra,87
Frozen Lord Griffin,87
Death King Hydra,87
Aura Priest Hydra,87
Aura Lord Orc,87
Light Undead Orc,87
Frozen Priest Hydra,87
Snow Warrior Kraken,87
Aura Warrior Hydra,87
Aura Knight Hydra,87
Snow Knight Kraken,87
Snow Knight Hydra,87
Frozen Rogue Griffin,86
Frozen Undead Goblin,86
Snow King Cyclops,86
Light Lord Griffin,86
Snow Monk Orc,86
Dark Knight Goblin,86
Earth Warrior Hydra,86
Ardent Lunar Shield,86
Light Fighter Hydra,86
Frozen Merchant Kraken,86
Earth Queen Goblin,85
